,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,Area,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,Transaction_Price,Bathrooms,Furnishing,Parking,Year_built
22,Dealer,0,1,3,BHK,1310.147689,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,5500000.0,3,Furnished,1,2019.0
23,Dealer,0,0,1,BHK,630.00063,1,1,"Bandra (West),Mumbai",19.05444,72.84056,30000000.0,1,Furnished,1,2016.0
24,Dealer,0,0,2,BHK,1219.80971,1,1,"Narendra Nagar,Nagpur",21.105779,79.078497,5000000.0,2,Furnished,1,2019.0
25,Owner,0,0,2,BHK,780.141844,1,1,"Kudgat,Kolkata",22.54111,88.33778000000002,2750000.0,2,Furnished,1,2010.0
26,Owner,0,0,3,BHK,1600.0,1,1,"Sain Vihar,Ghaziabad",28.63601,77.433724,4600000.0,3,Furnished,1,2011.0
27,Dealer,0,0,2,BHK,1180.412371,1,1,"Sector-115 Mohali,Mohali",30.712867,76.648557,2290000.0,2,Furnished,1,2013.0
28,Owner,1,0,2,BHK,1000.0,0,1,"Mohan Asram,Deoghar",24.48,86.7,3900000.0,2,Furnished,1,
29,Dealer,0,0,2,BHK,1000.0,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,1250000.0,2,Furnished,1,2014.0
30,Dealer,0,0,3,BHK,1400.107701,1,1,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,5200000.0,3,Furnished,1,2019.0
31,Dealer,0,1,2,BHK,943.1266076,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,3300000.0,2,Furnished,1,2013.0
32,Owner,0,0,2,BHK,1150.146382,1,1,"Indra Colony,Jaipur",26.586306,74.873234,5500000.0,2,Furnished,1,2018.0
33,Dealer,1,1,1,BHK,864.0674393999999,0,1,"Thane West,Lalitpur",19.18,72.96333,8200000.0,1,Furnished,1,
34,Dealer,0,1,2,BHK,857.7861968000002,1,0,"Mulund (West),Maharashtra",19.1759,72.9522,24000000.0,2,Furnished,1,2019.0
35,Owner,0,0,3,BHK,1174.210077,1,1,"Thalambur,Chennai",12.852171,80.216826,5500000.0,3,Furnished,1,2016.0
36,Dealer,1,1,2,BHK,1020.087884,0,1,"Wakad,Pune",18.5993,73.7625,6500000.0,2,Furnished,1,
37,Owner,0,0,4,BHK,1650.165017,1,1,"Vasna,Vadodara",22.312063,72.674296,6500000.0,4,Furnished,1,2019.0
38,Dealer,1,0,2,BHK,1000.0,0,1,"Madhurawada,Visakhapatnam",17.815234,83.35818,3500000.0,2,Furnished,1,
39,Owner,0,0,3,BHK,1300.052002,1,1,"Vasanthapura,Bangalore",12.894088,77.548914,7500000.0,3,Furnished,1,2019.0
40,Dealer,1,1,1,BHK,40606.19568,0,0,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,911000000.0,1,Furnished,1,
41,Dealer,0,1,2,BHK,1058.114928,1,1,"Sus,Pune",18.539812,73.737678,6500000.0,2,Furnished,1,2016.0
42,Dealer,1,0,1,BHK,400.0,0,1,"Kharadi,Pune",18.5438,73.9438,3000000.0,1,Furnished,1,
43,Dealer,0,1,3,BHK,1274.924779,1,1,"Marol,Mumbai",22.803593,83.755013,25000000.0,3,Furnished,1,2016.0
44,Dealer,0,0,2,BHK,1026.694045,1,1,"Wadala East,Lalitpur",19.014858,72.8662,22000000.0,2,Furnished,1,2017.0
45,Owner,0,0,2,BHK,1150.121065,1,1,"Near Ambamata Mandir,Vapi",20.366670000000006,72.9,3800000.0,2,Furnished,1,2013.0
46,Owner,0,0,3,BHK,1200.0,1,1,"Patel Nagar-II,Ghaziabad",28.460928000000006,77.03939100000002,6000000.0,3,Furnished,1,2017.0
47,Dealer,0,0,1,RK,475.0103263,1,1,"Balkum,Lalitpur",24.69028,78.41889,4600000.0,1,Furnished,1,2010.0
48,Builder,1,1,1,BHK,301.9171163000001,0,0,"Taloja,Lalitpur",24.69028,78.41889,2630000.0,1,Furnished,1,
49,Dealer,1,1,2,BHK,1228.571429,0,1,"Bolar,Mangalore",12.843852,74.845271,5160000.0,2,Furnished,1,
50,Owner,0,0,2,BHK,986.0164934,1,1,"Ayanambakkam,Chennai",13.077175,80.151453,5500000.0,2,Furnished,1,2016.0
51,Dealer,1,1,3,BHK,1972.565158,0,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,7190000.000000001,3,Furnished,1,
52,Dealer,1,1,1,BHK,420.6166888,0,1,"Sindhi Society Chembur,Lalitpur",19.048403,72.88731,13000000.0,1,Furnished,1,
53,Owner,0,0,3,BHK,1275.009808,1,1,"Shiv Mandir,Siliguri",25.232239,71.392013,3250000.0,3,Furnished,1,2013.0
54,Dealer,1,1,1,BHK,406.024219,0,0,"Kalyan (West),Maharashtra",19.245347,73.124577,3990000.0,1,Furnished,1,
55,Dealer,0,0,3,BHK,1862.562189,1,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,5990000.0,3,Furnished,1,2019.0
56,Owner,0,0,2,BHK,950.0146156,1,1,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,6500000.0,2,Furnished,1,2018.0
57,Owner,0,1,4,BHK,5200.945626,1,1,"Sector-76 Noida,Noida",28.567633,77.383124,11000000.0,4,Furnished,1,2017.0
58,Dealer,0,0,2,BHK,1049.969344,1,1,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,6850000.0,2,Furnished,1,2016.0
59,Dealer,0,0,3,BHK,1615.008157,1,1,"Maniktala,Kolkata",22.589694,88.372957,9900000.0,3,Furnished,1,2019.0
60,Dealer,0,0,3,BHK,1150.0069,1,1,"Wadala East,Lalitpur",19.014858,72.8662,25000000.0,3,Furnished,1,2016.0
61,Owner,0,0,2,BHK,1100.0,1,1,"Jhotwara,Jaipur",26.955346,75.73479300000002,2750000.0,2,Furnished,1,2011.0
62,Dealer,1,1,2,BHK,906.2661833,0,0,"Balkum,Lalitpur",24.69028,78.41889,7000000.0,2,Furnished,1,
63,Owner,0,0,3,BHK,1454.333915,1,1,"Poolakkaparambu,Ottapalam",10.77,76.38,5000000.0,3,Furnished,1,2018.0
64,Owner,0,0,3,BHK,1591.994542,1,1,"Sector-137 Noida,Noida",28.506454,77.40956800000002,7000000.0,3,Furnished,1,2019.0
65,Dealer,0,1,2,BHK,573.8769151,1,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,2210000.0,2,Furnished,1,2011.0
66,Dealer,0,1,3,BHK,1038.883942,1,1,"Powai,Mumbai",19.12,72.91,28000000.0,3,Furnished,1,2018.0
67,Owner,0,0,3,BHK,1538.141758,1,1,"Yelahanka,Bangalore",13.11389,77.59833,7400000.0,3,Furnished,1,2019.0
68,Owner,0,0,2,BHK,5000.0,1,1,"Malviya Nagar,Jaipur",26.850391,75.814198,8500000.0,2,Furnished,1,2019.0
69,Dealer,0,0,3,BHK,1602.084012,1,1,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,4920000.0,3,Furnished,1,2010.0
70,Owner,0,0,2,BHK,1200.0,1,1,"Madhuranagar,Vijayawada",16.51667,80.61667,4500000.0,2,Furnished,1,2010.0
71,Owner,0,0,2,BHK,760.0709400000002,1,1,"Tilakwadi,Belgaum",15.86667,74.5,6000000.0,2,Furnished,1,2016.0
72,Owner,1,0,2,BHK,739.8273736000001,0,1,"tallaiya,Bhopal",23.25,77.41667,3000000.0,2,Furnished,1,
73,Owner,0,0,2,BHK,1260.02291,1,1,"Mulki,Mangalore",13.0915,74.7844,3300000.0,2,Furnished,1,2010.0
74,Owner,0,0,2,BHK,1100.151745,1,1,"Manewada,Nagpur",21.093676,79.111965,2900000.0,2,Furnished,1,2013.0
75,Dealer,0,1,3,BHK,2293.077091,1,1,"Kharadi,Pune",18.5438,73.9438,21000000.0,3,Furnished,1,2019.0
76,Dealer,0,0,2,BHK,1146.480331,1,1,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,8860000.0,2,Furnished,1,2018.0
77,Dealer,0,1,4,BHK,2224.059764,1,1,"Goregaon (East),Lalitpur",19.1615,72.8731,78000000.0,4,Furnished,1,2016.0
78,Dealer,0,0,2,BHK,759.8784195000002,1,1,"Joka,Kolkata",22.452032,88.298947,3000000.0,2,Furnished,1,2014.0
79,Owner,0,0,4,BHK,2260.251857,1,1,"Wilson Garden,Bangalore",12.9506,77.5952,14000000.0,4,Furnished,1,2017.0
80,Dealer,0,0,3,BHK,767.0182167,1,1,"DN Nagar,Maharashtra",20.742166,80.104602,24000000.0,3,Furnished,1,2016.0
81,Owner,0,0,4,BHK,2500.0,1,1,"Ramprastha,Ghaziabad",28.66667,77.41667,16000000.0,4,Furnished,1,2016.0
82,Dealer,1,1,4,BHK,2286.236854,0,1,"Gomti Nagar Extension,Lucknow",21.0,77.0,10000000.0,4,Furnished,1,
83,Owner,0,1,2,BHK,1150.086256,1,1,"Sector-74 Noida,Noida",28.577673,77.389781,6000000.0,2,Furnished,1,2018.0
84,Dealer,0,1,2,BHK,1004.932182,1,1,"New Panvel,Mumbai",18.966114,73.148278,8150000.0,2,Furnished,1,2017.0
85,Owner,0,0,2,BHK,800.0,1,1,"Prantik,Kolkata",22.56972,88.36972,3400000.0,2,Furnished,1,2012.0
86,Dealer,1,0,3,BHK,993.75,0,1,"Subhas Pally,Siliguri",26.706157,88.439748,3180000.0,3,Furnished,1,
87,Dealer,0,0,2,BHK,1298.139334,1,1,"Jatkhedi,Bhopal",23.169982,77.477889,3000000.0,2,Furnished,1,2012.0
88,Dealer,0,1,2,BHK,996.797438,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,2490000.0,2,Furnished,1,2011.0
89,Owner,0,0,2,BHK,985.0194952,1,1,"CV Raman Nagar,Bangalore",12.98556,77.66389000000002,4800000.0,2,Furnished,1,2012.0
90,Dealer,0,0,3,BHK,1118.75,1,1,"Medavakkam,Chennai",12.91716,80.19287,5370000.0,3,Furnished,1,2016.0
91,Dealer,0,1,2,BHK,889.8305085000002,1,1,"Sector-137 Noida,Noida",28.506454,77.40956800000002,4200000.0,2,Furnished,1,2011.0
92,Owner,0,0,3,BHK,2738.22563,1,1,"Basapura,Bangalore",12.863421,77.652405,15000000.0,3,Furnished,1,2016.0
93,Dealer,1,1,4,BHK,1725.4901960000002,0,0,"Deonar,Maharashtra",19.049513,72.91920400000002,44000000.0,4,Furnished,1,
94,Dealer,1,1,3,BHK,2488.004265,0,1,"Sector-82 Mohali,Mohali",30.654128000000004,76.732427,14000000.0,3,Furnished,1,
95,Dealer,0,0,3,BHK,1200.082764,1,1,"Satgachi,Kolkata",23.207157,88.404471,5800000.0,3,Furnished,1,2017.0
96,Dealer,0,0,2,BHK,1584.283904,1,1,"Tilak Nagar,Kanpur",26.459137,79.506922,10000000.0,2,Furnished,1,2018.0
97,Owner,0,0,2,BHK,900.0,1,1,"Kalol,Gandhinagar",23.2257,72.51679,1800000.0,2,Furnished,1,2010.0
98,Dealer,0,1,2,BHK,1193.440032,1,1,"Talegaon,Pune",18.441256,74.647361,6040000.0,2,Furnished,1,2017.0
99,Owner,0,0,2,BHK,1487.357462,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,3000000.0,2,Furnished,1,2010.0
100,Owner,1,1,2,BHK,989.9029895,0,1,"Sector-143 Noida,Noida",28.5035,77.426447,5000000.0,2,Furnished,1,
101,Dealer,0,0,2,BHK,1155.020213,1,1,"Bhandup (West),Maharashtra",19.147866,72.932609,14000000.0,2,Furnished,1,2018.0
102,Owner,0,0,2,BHK,949.893137,1,1,"Eswaran Koil Street,Pondicherry",11.93,79.83,8000000.0,2,Furnished,1,2019.0
103,Owner,0,0,2,BHK,875.0,1,1,"Sector-78 Noida,Noida",28.560719,77.386208,4900000.0,2,Furnished,1,2010.0
104,Dealer,0,0,2,BHK,853.3611982000001,1,1,"Ananth Nagar,Bangalore",12.96991,77.59796,2450000.0,2,Furnished,1,2012.0
105,Owner,0,0,1,BHK,483.0917874,1,1,"Roha,Raigad",18.4543,73.1147,1800000.0,1,Furnished,1,2013.0
106,Dealer,0,0,2,BHK,800.0,1,1,"Thane West,Maharashtra",19.18,72.96333,9500000.0,2,Furnished,1,2018.0
107,Owner,0,0,2,BHK,802.0415602999999,1,1,"Ankur Vihar,Ghaziabad",28.66667,77.41667,2200000.0,2,Furnished,1,2010.0
108,Dealer,0,1,2,BHK,610.0660905,1,1,"Koyambedu,Chennai",13.069866,80.19842299999998,4800000.0,2,Furnished,1,2012.0
109,Owner,0,0,3,BHK,1680.107527,1,1,"Naveen Nagar,Kanpur",28.861993,78.756315,7500000.0,3,Furnished,1,2018.0
110,Owner,0,0,2,BHK,1150.136038,1,1,"Nirman Nagar,Jaipur",19.980678,79.297436,9300000.0,2,Furnished,1,2018.0
111,Owner,0,0,3,BHK,1550.114497,1,1,"Sector-75 Noida,Noida",28.576117,77.382136,8800000.0,3,Furnished,1,2019.0
112,Owner,0,0,5,BHK,1699.834163,1,1,"Sahibabad,Ghaziabad",28.6711,77.3683,8200000.0,5,Furnished,1,2019.0
113,Owner,1,0,3,BHK,1600.170685,0,1,"Tripunithura,Kochi",9.952439,76.36329649999998,7500000.0,3,Furnished,1,
114,Owner,0,0,1,BHK,600.0566091,1,1,"Pen,Raigad",18.75,73.08,2120000.0,1,Furnished,1,2012.0
115,Dealer,0,1,2,BHK,1429.200617,1,1,"Sector-66A Mohali,Mohali",30.661104,76.746082,6490000.000000001,2,Furnished,1,2018.0
116,Owner,0,0,2,BHK,1115.1379980000004,1,1,"Dodda Banaswadi,Bangalore",13.008071,77.65129499999998,8000000.0,2,Furnished,1,2018.0
117,Dealer,0,0,4,BHK,2750.929368,1,1,"Sikandra,Agra",27.216013,77.950834,7400000.0,4,Furnished,1,2019.0
118,Owner,0,0,3,BHK,1811.196487,1,1,"Kanke,Ranchi",23.35556,85.33471999999998,9900000.0,3,Furnished,1,2018.0
119,Owner,0,0,2,BHK,1045.036079,1,1,"Narendrapur,Kolkata",22.43917,88.39583,4200000.0,2,Furnished,1,2011.0
120,Dealer,0,0,3,BHK,3433.996566,1,1,"Sector-65 Gurgaon,Gurgaon",28.403138,77.070052,34000000.0,3,Furnished,1,2017.0
121,Owner,0,0,3,BHK,1298.219585,1,1,"Electronics City Phase 1,Bangalore",12.840956,77.659441,7000000.0,3,Furnished,1,2017.0
122,Owner,1,1,2,BHK,1109.165207,0,1,"Katapady,Udupi",13.278237,74.747328,3800000.0,2,Furnished,1,
123,Dealer,1,1,4,BHK,1304.034182,0,0,"Kanchpada,Maharashtra",18.96,72.82,47000000.0,4,Furnished,1,
124,Dealer,0,1,2,BHK,1041.195111,1,1,"Sector-70 Noida,Noida",28.59632,77.38143000000002,4600000.0,2,Furnished,1,2013.0
125,Dealer,0,0,3,BHK,2135.748916,1,1,"Sector 82 Faridabad,Faridabad",28.394375,77.35722700000002,8370000.0,3,Furnished,1,2016.0
126,Owner,0,1,3,BHK,1850.180505,1,1,"Noida Extension,Noida",28.579004,77.431173,8200000.0,3,Furnished,1,2017.0
127,Dealer,0,0,3,BHK,1665.080875,1,1,"Kudasan,Gandhinagar",23.166495,72.63429000000002,7000000.0,3,Furnished,1,2018.0
128,Owner,0,1,2,BHK,398.2621289,1,1,"Purseni,Lucknow",26.707154,80.98234599999998,1100000.0,2,Furnished,1,2010.0
129,Owner,0,0,2,BHK,1005.025126,1,1,"Chandapura,Bangalore",12.80009,77.71181999999997,4800000.0,2,Furnished,1,2013.0
130,Dealer,0,1,4,BHK,4900.959771,1,1,"Kharadi,Pune",18.5438,73.9438,24000000.0,4,Furnished,1,2018.0
131,Dealer,0,1,2,BHK,1294.016156,1,1,"4 Bunglows,Mumbai",19.128324,72.825408,33000000.0,2,Furnished,1,2016.0
132,Dealer,0,1,3,BHK,1536.806516,1,1,"Sector-3 Vaishali,Ghaziabad",28.6423,77.3445,10000000.0,3,Furnished,1,2016.0
133,Owner,0,0,2,BHK,1123.188406,1,1,"Kaggadasapura,Bangalore",12.9816,77.6729,6200000.0,2,Furnished,1,2019.0
134,Dealer,0,0,2,BHK,800.1939864,1,1,"Jhotwara,Jaipur",26.955346,75.73479300000002,1650000.0,2,Furnished,1,2011.0
135,Dealer,0,1,4,BHK,2655.807365,1,1,"Manpada,Maharashtra",19.239813,72.962722,30000000.0,4,Furnished,1,2016.0
136,Dealer,0,0,3,BHK,1513.775356,1,1,"JP Nagar,Bangalore",12.905368,77.580403,10000000.0,3,Furnished,1,2019.0
137,Owner,0,0,3,BHK,1280.0,1,1,"Ponekkara,Kochi",9.930471,76.271273,4800000.0,3,Furnished,1,2013.0
138,Owner,0,0,1,BHK,410.0678733,1,1,"Sector-18 Vrindavan Colony,Lucknow",28.568846,77.324966,1450000.0,1,Furnished,1,2012.0
139,Dealer,0,0,4,BHK,3429.355281,1,1,"Vasna Road,Vadodara",22.312063,72.674296,10000000.0,4,Furnished,1,2019.0
140,Dealer,0,0,2,BHK,890.0451868999999,1,1,"Sector-25 Khandeshhwar,Mumbai",28.582887,77.339935,6500000.0,2,Furnished,1,2018.0
141,Owner,0,0,2,BHK,977.7082519,1,1,"Bicholi Mardana,Indore",22.1764,75.8193,2500000.0,2,Furnished,1,2010.0
142,Dealer,0,0,2,BHK,1099.855282,1,1,"Syndicate Bank Colony,Bangalore",12.977126,77.577724,3800000.0,2,Furnished,1,2011.0
143,Owner,1,0,2,BHK,1050.241272,0,1,"Paota,Jodhpur",26.29564,73.03943000000002,3700000.0,2,Furnished,1,
144,Dealer,0,1,3,BHK,1400.241838,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,5790000.0,3,Furnished,1,2016.0
145,Dealer,0,0,3,BHK,1740.139211,1,1,"Sector 19 Kharghar,Mumbai",19.048979,73.078232,18000000.0,3,Furnished,1,2018.0
146,Dealer,0,1,2,BHK,1149.131767,1,1,"Marol,Lalitpur",24.69028,78.41889,18000000.0,2,Furnished,1,2019.0
147,Dealer,0,0,2,BHK,650.1950585,1,1,"Vadavalli,Coimbatore",11.026678,76.903583,2000000.0,2,Furnished,1,2013.0
148,Owner,0,0,2,BHK,1355.01355,1,1,"Gopalpura Bypass,Jaipur",26.878068,75.77985600000002,8500000.0,2,Furnished,1,2019.0
149,Dealer,0,0,3,BHK,1800.0720030000002,1,1,"Rasanna Colony,Bangalore",12.96991,77.59796,15000000.0,3,Furnished,1,2018.0
150,Dealer,0,1,2,BHK,907.6305221,1,1,"Taloja,Maharashtra",21.56128,74.21238000000002,3390000.0,2,Furnished,1,2014.0
151,Dealer,0,0,3,BHK,1636.296021,1,1,"Budigere,Bangalore",13.141581,77.749756,8800000.0,3,Furnished,1,2016.0
152,Owner,0,0,2,BHK,900.2520706,1,1,"Tarsali,Vadodara",22.261354,73.215533,2500000.0,2,Furnished,1,2014.0
153,Owner,0,0,2,BHK,1318.0440230000004,1,1,"Doddakannelli,Bangalore",12.905538,77.694263,10000000.0,2,Furnished,1,2017.0
154,Dealer,0,1,3,BHK,1949.586451,1,1,"Sector-88 Mohali,Mohali",30.684523,76.691728,9900000.0,3,Furnished,1,2016.0
155,Dealer,0,0,3,BHK,1643.36522,1,1,"Kakkanad,Kochi",9.930471,76.271273,6700000.0,3,Furnished,1,2019.0
156,Dealer,0,0,3,BHK,1233.045623,1,1,"Kanjur Marg (East),Maharashtra",18.96,72.82,21000000.0,3,Furnished,1,2019.0
157,Dealer,0,0,1,BHK,655.0802139,1,1,"Sector 20 Ulwe,Maharashtra",18.964489,73.019574,4900000.0,1,Furnished,1,2013.0
158,Owner,0,0,2,BHK,1180.173092,1,1,"Ferrar Nagar,Bangalore",12.96991,77.59796,7500000.0,2,Furnished,1,2019.0
159,Owner,0,0,3,BHK,1200.087279,1,1,"Sahibabad,Ghaziabad",28.6711,77.3683,5500000.0,3,Furnished,1,2017.0
160,Dealer,0,0,4,BHK,6974.645114,1,1,"New Alipore,Kolkata",22.53028,88.33417,170000000.0,4,Furnished,1,2018.0
161,Owner,1,1,4,BHK,2700.075602,0,1,"Sector-98 Noida,Noida",28.535689,77.35967099999998,25000000.0,4,Furnished,1,
162,Owner,0,0,2,BHK,850.0991782,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,3000000.0,2,Furnished,1,2011.0
163,Dealer,1,1,4,BHK,2636.296531,0,1,"Konanakunte,Bangalore",12.8855,77.5638,25000000.0,4,Furnished,1,
164,Owner,0,0,2,BHK,900.0163639,1,1,"Roopena Agrahara,Bangalore",12.928575,77.58572099999998,5500000.0,2,Furnished,1,2017.0
165,Dealer,1,0,4,BHK,2472.952087,0,1,"NIBM,Pune",18.475864,73.89000899999998,16000000.0,4,Furnished,1,
166,Dealer,0,0,2,BHK,904.0656205,1,1,"Suraksha Nagar,Bangalore",20.098413,79.10786,5070000.0,2,Furnished,1,2016.0
167,Dealer,1,1,1,BHK,265.0033933,0,1,"Andheri (East),Lalitpur",19.1145,72.8712,8200000.0,1,Furnished,1,
168,Dealer,1,1,3,BHK,1570.306924,0,1,"Tonk Road,Jaipur",26.16667,75.78333,11000000.0,3,Furnished,1,
169,Dealer,0,0,2,BHK,955.4140127,1,1,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,15000000.0,2,Furnished,1,2017.0
170,Dealer,0,0,2,BHK,1000.0,1,1,"Sector-53 Noida,Noida",28.593566,77.362752,6000000.0,2,Furnished,1,2016.0
171,Dealer,0,0,4,BHK,2494.747899,1,1,"Kadugodi,Bangalore",12.995285,77.766797,9500000.0,4,Furnished,1,2018.0
172,Owner,0,0,2,BHK,1150.130348,1,1,"Villivakkam Near ICF Bus Stand,Chennai",13.1101,80.2095,7500000.0,2,Furnished,1,2017.0
173,Dealer,0,0,2,BHK,1210.136674,1,1,"Kamothe,Mumbai",19.0168,73.09646,8500000.0,2,Furnished,1,2016.0
174,Dealer,0,0,2,BHK,1365.001365,1,1,"Sector-11 Ghansoli,Mumbai",19.126499,72.99956,20000000.0,2,Furnished,1,2018.0
175,Dealer,1,1,2,BHK,499.6366279,0,0,"Hiranandani Estate,Maharashtra",19.255098,72.9815265,11000000.0,2,Furnished,1,
176,Dealer,0,0,2,BHK,1050.144395,1,1,"Manjalpur,Vadodara",22.271214,73.188827,4000000.0,2,Furnished,1,2014.0
177,Owner,0,0,1,BHK,476.02046889999986,1,1,"Madanandapuram,Chennai",13.020957,80.152774,4000000.0,1,Furnished,1,2014.0
178,Dealer,0,0,2,BHK,985.452839,1,1,"Hajipur,Noida",28.538774,77.366515,2100000.0,2,Furnished,1,2013.0
179,Dealer,0,0,2,BHK,1045.296167,1,1,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,2400000.0,2,Furnished,1,2012.0
180,Dealer,1,1,2,BHK,1301.89498,0,1,"Sarjapur Road,Bangalore",12.86,77.786,9000000.0,2,Furnished,1,
181,Owner,0,0,2,BHK,2000.0,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,3800000.0,2,Furnished,1,2010.0
182,Dealer,1,1,4,BHK,4465.709729,0,1,"Sector-108 Noida,Noida",28.526624,77.37671800000003,28000000.0,4,Furnished,1,
183,Dealer,0,0,2,BHK,1192.0,1,1,"Nayapalli,Bhubaneswar",20.286571,85.810906,5960000.0,2,Furnished,1,2017.0
184,Dealer,1,0,3,BHK,1846.153846,0,0,"New Town,Kolkata",22.5922,88.484911,12000000.0,3,Furnished,1,
185,Dealer,1,0,1,BHK,448.5310608,0,1,"Kanjur Marg (East),Mumbai",19.221571,73.042474,12000000.0,1,Furnished,1,
186,Owner,0,0,2,BHK,750.0604887000002,1,1,"Gyan Khand 2,Ghaziabad",28.66667,77.41667,3100000.0,2,Furnished,1,2010.0
187,Dealer,0,0,2,BHK,1060.0706710000004,1,1,"Roadpali,Maharashtra",19.040066,73.115347,7200000.0,2,Furnished,1,2018.0
188,Dealer,0,1,3,BHK,1415.09434,1,1,"Electronic City Phase II,Bangalore",12.8458,77.6727,7950000.0,3,Furnished,1,2019.0
189,Dealer,0,0,2,BHK,1160.062565,1,1,"Sector-35G Kharghar,Maharashtra",18.96,72.82,8900000.0,2,Furnished,1,2019.0
190,Dealer,0,0,3,BHK,1690.024732,1,1,"Goregaon (East),Lalitpur",19.1615,72.8731,41000000.0,3,Furnished,1,2016.0
191,Owner,1,0,3,BHK,1672.762741,0,1,"Sector-143B Noida,Noida",28.495803,77.42684799999998,6859999.999999999,3,Furnished,1,
